estado,pi
"X,ADV",3.749708164183617e-05
"X,AUX",3.937414555914059e-05
"X,CCONJ",8.581397500687066e-05
"X,DET",3.62116263405032e-05
"X,INTJ",1.2280941899726952e-05
"X,NOUN",1.5570021427545602e-05
"X,NUM",1.744282188743066e-05
"X,PART",1.241993123757751e-05
"X,PRON",5.092320470286413e-05
"X,PROPN",2.434383593420169e-05
"X,PUNCT",7.37015748320477e-05
"X,SCONJ",3.47492789284348e-05
"X,SYM",1.4673427299689836e-05
"X,VERB",3.1954699679033664e-05
"X,X",3.658060663900761e-05
